,image_number,prediction,probability
11114,test\img_3707.jpg,1,0.50158745
5702,test\img_1513.jpg,1,0.5019565
4810,test\img_14327.jpg,1,0.5032601
2080,test\img_11870.jpg,1,0.5037285
9033,test\img_1834.jpg,1,0.50462586
8621,test\img_17758.jpg,1,0.5047793
1583,test\img_11422.jpg,1,0.50518733
13928,test\img_624.jpg,1,0.50710875
7759,test\img_16982.jpg,1,0.50943977
6333,test\img_15699.jpg,1,0.50964326
1542,test\img_11386.jpg,1,0.5103298
2841,test\img_12555.jpg,1,0.51039344
4860,test\img_14372.jpg,1,0.5117963
6463,test\img_15815.jpg,1,0.5142176
41,test\img_10034.jpg,1,0.514315
4833,test\img_14348.jpg,1,0.5154338
4892,test\img_14400.jpg,1,0.51575005
1932,test\img_11737.jpg,1,0.5163042
6410,test\img_15768.jpg,1,0.5173974
7648,test\img_16882.jpg,1,0.51908773
7607,test\img_16845.jpg,1,0.51991564
9533,test\img_2284.jpg,1,0.52151555
6245,test\img_15619.jpg,1,0.52213037
7531,test\img_16777.jpg,1,0.5231426
8148,test\img_17331.jpg,1,0.52635217
1923,test\img_11729.jpg,1,0.52746797
14830,test\img_7051.jpg,1,0.5275764
12963,test\img_5371.jpg,1,0.5301592
6816,test\img_16132.jpg,1,0.53413427
8836,test\img_17951.jpg,1,0.5345388
10516,test\img_3169.jpg,1,0.53672016
10787,test\img_3412.jpg,1,0.5378451
2838,test\img_12552.jpg,1,0.53966576
16477,test\img_8534.jpg,1,0.54179806
608,test\img_10545.jpg,1,0.54192233
18029,test\img_9931.jpg,1,0.5456631
1609,test\img_11446.jpg,1,0.5472263
4748,test\img_14271.jpg,1,0.54822075
3383,test\img_13042.jpg,1,0.5551033
7314,test\img_16581.jpg,1,0.5560483
11737,test\img_4268.jpg,1,0.5608354
10774,test\img_3400.jpg,1,0.5614443
3883,test\img_13493.jpg,1,0.5627422
11507,test\img_4060.jpg,1,0.56455827
5729,test\img_15154.jpg,1,0.572964
7681,test\img_16911.jpg,1,0.57569504
10426,test\img_3088.jpg,1,0.5761315
2959,test\img_12661.jpg,1,0.5801911
7197,test\img_16476.jpg,1,0.58181417
6719,test\img_16045.jpg,1,0.58337677
1421,test\img_11277.jpg,1,0.5839742
15921,test\img_8033.jpg,1,0.5849936
4962,test\img_14464.jpg,1,0.5858443
6800,test\img_16118.jpg,1,0.5896409
4226,test\img_13801.jpg,1,0.59266436
2350,test\img_12112.jpg,1,0.5940503
12452,test\img_4911.jpg,1,0.5941869
4316,test\img_13883.jpg,1,0.5963354
14069,test\img_6367.jpg,1,0.5997414
5261,test\img_14733.jpg,1,0.60161287
3303,test\img_12971.jpg,1,0.60260653
4870,test\img_14381.jpg,1,0.60457706
1789,test\img_11608.jpg,1,0.60847247
3390,test\img_13049.jpg,1,0.60946536
12483,test\img_494.jpg,1,0.6106056
17521,test\img_9474.jpg,1,0.6110536
3875,test\img_13486.jpg,1,0.6119405
2770,test\img_12491.jpg,1,0.6168326
7991,test\img_17190.jpg,1,0.6199092
169,test\img_1015.jpg,1,0.6215816
13148,test\img_5538.jpg,1,0.62245214
8172,test\img_17353.jpg,1,0.6229255
4684,test\img_14213.jpg,1,0.6246867
3791,test\img_1341.jpg,1,0.62815493
17824,test\img_9747.jpg,1,0.6308628
7682,test\img_16912.jpg,1,0.6321625
4271,test\img_13842.jpg,1,0.6329516
13198,test\img_5583.jpg,1,0.63449454
15573,test\img_7720.jpg,1,0.63898826
1321,test\img_11187.jpg,1,0.63921636
11441,test\img_4000.jpg,1,0.6401486
8494,test\img_17643.jpg,1,0.64091665
1437,test\img_11291.jpg,1,0.64105225
12080,test\img_4577.jpg,1,0.642583
5272,test\img_14743.jpg,1,0.64370155
12631,test\img_5072.jpg,1,0.64617383
3060,test\img_12752.jpg,1,0.6469721
16273,test\img_8350.jpg,1,0.64800656
9194,test\img_198.jpg,1,0.6516286
9907,test\img_2620.jpg,1,0.651962
10762,test\img_3390.jpg,1,0.6525797
9217,test\img_20.jpg,1,0.65384346
9529,test\img_2280.jpg,1,0.657146
8137,test\img_17321.jpg,1,0.65842044
4554,test\img_14097.jpg,1,0.65962696
11344,test\img_3914.jpg,1,0.65996027
4206,test\img_13784.jpg,1,0.66658777
11617,test\img_416.jpg,1,0.6667356
7522,test\img_16769.jpg,1,0.67007744
16219,test\img_8301.jpg,1,0.6708456
138,test\img_10121.jpg,1,0.67246985
13502,test\img_5857.jpg,1,0.67250305
7437,test\img_16692.jpg,1,0.67327815
8394,test\img_17553.jpg,1,0.673305
8745,test\img_1787.jpg,1,0.67342544
5231,test\img_14706.jpg,1,0.6737249
12921,test\img_5333.jpg,1,0.67505705
821,test\img_10737.jpg,1,0.67782134
4439,test\img_13994.jpg,1,0.67886657
4123,test\img_13709.jpg,1,0.6794098
836,test\img_10750.jpg,1,0.68312067
1085,test\img_10975.jpg,1,0.6837601
12410,test\img_4874.jpg,1,0.6863158
10996,test\img_3600.jpg,1,0.6871908
7149,test\img_16432.jpg,1,0.6883504
523,test\img_10469.jpg,1,0.68892986
17282,test\img_9259.jpg,1,0.6896141
5677,test\img_15107.jpg,1,0.68966687
416,test\img_10372.jpg,1,0.6899256
13166,test\img_5554.jpg,1,0.69242156
8774,test\img_17896.jpg,1,0.69527495
7142,test\img_16426.jpg,1,0.6958751
6625,test\img_15961.jpg,1,0.6993866
14976,test\img_7183.jpg,1,0.7003319
7167,test\img_16449.jpg,1,0.70962733
2450,test\img_12202.jpg,1,0.71093994
8677,test\img_17808.jpg,1,0.71211267
12910,test\img_5323.jpg,1,0.71217114
3630,test\img_13265.jpg,1,0.7124667
5534,test\img_1498.jpg,1,0.71398866
7472,test\img_16723.jpg,1,0.7158338
3277,test\img_12948.jpg,1,0.7174496
4446,test\img_140.jpg,1,0.71916723
11723,test\img_4255.jpg,1,0.71942073
4276,test\img_13847.jpg,1,0.71987444
4189,test\img_13769.jpg,1,0.72107375
12372,test\img_484.jpg,1,0.7250282
6714,test\img_16040.jpg,1,0.7255178
12476,test\img_4933.jpg,1,0.7266186
2060,test\img_11852.jpg,1,0.72993684
3596,test\img_13234.jpg,1,0.7313689
17303,test\img_9278.jpg,1,0.7314569
17520,test\img_9473.jpg,1,0.73191726
9036,test\img_1837.jpg,1,0.7352843
5397,test\img_14856.jpg,1,0.7384147
8871,test\img_17983.jpg,1,0.7398071
11330,test\img_3901.jpg,1,0.7405348
2464,test\img_12215.jpg,1,0.7440674
314,test\img_10280.jpg,1,0.7452388
6149,test\img_15532.jpg,1,0.747227
931,test\img_10836.jpg,1,0.7473807
2938,test\img_12642.jpg,1,0.75378126
7397,test\img_16656.jpg,1,0.75866383
7302,test\img_16570.jpg,1,0.76013047
5940,test\img_15344.jpg,1,0.7609227
5587,test\img_15026.jpg,1,0.76143205
15984,test\img_8090.jpg,1,0.76512074
7503,test\img_16751.jpg,1,0.7651777
17463,test\img_9421.jpg,1,0.7717511
11164,test\img_3752.jpg,1,0.7750955
14025,test\img_6327.jpg,1,0.77528393
14368,test\img_6636.jpg,1,0.7781462
