,image_number,prediction,probability
2060,test\img_11852.jpg,1,0.57649183
7441,test\img_16696.jpg,1,0.5918879
1043,test\img_10937.jpg,1,0.6088183
1510,test\img_11357.jpg,1,0.6394626
13910,test\img_6224.jpg,1,0.65670615
2014,test\img_11810.jpg,1,0.68124586
10801,test\img_3426.jpg,1,0.89557374
830,test\img_10745.jpg,1,0.9042511
14667,test\img_6906.jpg,1,0.9173407
4900,test\img_14408.jpg,1,0.9421008
2012,test\img_11809.jpg,1,0.94628537
5640,test\img_15074.jpg,1,0.96201974
1511,test\img_11358.jpg,1,0.96335894
6050,test\img_15443.jpg,1,0.96839833
3283,test\img_12953.jpg,1,0.9844006
6420,test\img_15777.jpg,1,0.9955695
4851,test\img_14364.jpg,1,0.9984567
